,expId,Compound,tempNLSDf
70,2,Ivermectin,332.7581<>355.0348<>392.1626<>409.3342<>449.7107<>484.5181<>514.2203<>538.3534<>563.8788<>572.6967<>584.7632<>614.4655<>633.0294<>612.6091<>621.4269<>620.4987<>626.9961<>639.0626<>644.6318<>648.3446<>648.8087<>686.4006<>681.2955<>688.7211<>700.3235
71,2,SGI-1027,329.5094<>348.0733<>343.4323<>319.2993<>259.8947<>204.203<>157.7932<>73.32745<>21.3485<>4.17688<>1.392293<>0.9281955<>0.4640978<>0.4640978<>0.4640978<>0.4640978<>0.4640978<>0.4640978<>0.4640978<>0.4640978<>0.4640978<>0.4640978<>0<>0<>0.4640978
72,2,ZCL278,323.9402<>352.7143<>396.8036<>430.2186<>466.4182<>505.4025<>544.3867<>567.5916<>598.6861<>641.3831<>676.6545<>709.6055<>738.8436<>756.0153<>739.7719<>727.2412<>720.2797<>678.975<>688.7211<>681.2955<>665.0521<>660.4111<>666.9085<>772.2587<>727.2412
73,2,GSK690693,314.1942<>327.1889<>349.4656<>376.3833<>401.9087<>426.0417<>440.8929<>457.6004<>474.772<>492.4077<>497.9769<>519.3254<>523.9664<>522.11<>508.6512<>465.9542<>442.7493<>428.8263<>417.2239<>404.2292<>380.5602<>364.7809<>383.3448<>397.2677<>418.1521
74,2,GSK1059615,261.7511<>263.6075<>269.6408<>274.7459<>304.4482<>293.7739<>303.5199<>289.597<>284.0278<>262.6794<>251.0769<>209.7722<>189.3519<>186.5673<>165.2188<>152.6882<>136.9088<>118.3449<>122.0577<>111.8476<>99.31693<>92.81956<>90.49906<>85.39399<>83.0735
75,2,TW-37,292.3816<>304.4482<>309.5532<>317.4429<>323.0121<>299.8072<>312.3378<>311.8737<>305.8404<>285.8842<>286.3483<>256.182<>249.6846<>248.7564<>234.8335<>221.8387<>199.562<>190.2801<>181.4622<>163.8265<>168.4675<>167.5393<>151.76<>142.0139<>126.2346
76,2,Cefoselis Sulfate,285.4201<>309.0891<>344.8246<>374.991<>407.0137<>410.2624<>453.4235<>484.5181<>514.2203<>534.1765<>589.8683<>618.6423<>644.1677<>656.6984<>652.9855<>658.5547<>657.6265<>684.5442<>671.5495<>706.8209<>722.1361<>744.4128<>815.4198<>925.4109<>911.488
77,2,Malotilate,208.844<>208.3799<>243.1872<>261.7511<>285.4201<>310.0173<>338.7914<>362.9245<>394.9472<>424.6494<>457.1363<>520.2536<>545.779<>563.8788<>578.2658<>568.5198<>568.5198<>576.4094<>591.2606<>607.9681<>605.1835<>633.0294<>668.7649<>679.4391<>711.4619
78,2,Meropenem,248.2923<>263.6075<>303.0558<>340.1837<>362.4604<>394.019<>408.406<>423.7213<>470.131<>494.2641<>523.9664<>581.0504<>602.3989<>586.6196<>570.3762<>592.1888<>573.1608<>569.4479<>562.4865<>583.3709<>600.0784<>620.4987<>655.7701<>773.1869<>716.567
79,2,SNS-032 (BMS-387032),231.1207<>224.6233<>216.7337<>213.9491<>206.5235<>206.0594<>200.9543<>196.7775<>190.7442<>185.6391<>188.8878<>183.7827<>174.5008<>174.0367<>169.8598<>165.2188<>165.6829<>157.7932<>151.76<>151.2959<>143.4062<>122.5218<>123.9141<>109.9912<>109.063
80,2,Oxcarbazepine,299.343<>327.1889<>356.4271<>398.66<>417.688<>422.329<>480.3412<>498.9051<>527.6791<>556.4532<>594.0452<>625.6038<>658.0906<>686.8647<>691.9698<>681.2955<>696.6108<>697.0748<>699.8594<>717.4952<>691.9698<>759.728<>768.0818<>861.3655<>817.2762
81,2,Capecitabine ,275.6741<>300.7354<>334.6145<>365.709<>408.406<>428.8263<>453.8876<>474.772<>521.1818<>546.7072<>599.6143<>607.504<>628.8525<>680.8314<>691.9698<>675.2623<>657.1624<>676.1904<>655.7701<>658.5547<>717.9592<>734.2027<>735.595<>791.2867<>780.1484
82,2,Tenofovir ,269.6408<>282.6355<>325.7966<>349.9297<>386.5934<>398.1959<>435.7878<>463.6337<>489.6231<>514.6844<>537.8893<>571.7684<>603.3271<>625.1397<>614.9296<>599.6143<>609.8245<>601.9348<>618.1782<>619.5705<>621.891<>628.3884<>665.0521<>668.3008<>685.9365
83,2,Cisplatin,300.7354<>316.5147<>339.7196<>378.2397<>393.0908<>437.1801<>463.6337<>483.5899<>517.9331<>551.8123<>587.0837<>640.4549<>642.3113<>656.2343<>651.1292<>652.0574<>632.5652<>615.8577<>644.6318<>626.0679<>638.1345<>668.7649<>691.9698<>760.1921<>754.623
84,2,Droxinostat,318.3711<>340.6478<>399.1241<>420.0085<>450.1748<>466.8824<>499.3692<>505.4025<>542.5303<>574.0889<>588.476<>607.0399<>614.9296<>642.3113<>645.0959<>640.4549<>637.2062<>621.891<>620.9628<>617.7141<>657.6265<>703.5722<>696.6108<>700.7877<>792.2149
85,2,MK-2866 (GTx-024),269.6408<>293.7739<>304.4482<>337.8632<>367.1013<>383.8089<>416.2957<>443.2134<>474.3079<>506.7948<>539.2816<>575.9453<>605.1835<>607.504<>592.6528<>594.9733<>590.7964<>588.476<>571.7684<>573.6248<>602.3989<>596.3657<>619.5705<>701.2517<>660.8752
86,2,Tizanidine HCl,272.4254<>297.4867<>323.4761<>363.3885<>379.632<>405.1573<>438.1083<>461.3132<>486.8386<>513.2921<>557.8455<>575.9453<>586.1555<>592.1888<>608.8963<>592.1888<>600.5425<>601.4707<>604.2553<>623.7474<>635.814<>664.1239<>665.9803<>726.7771<>703.1081
87,2,Ritonavir,289.1329<>310.9455<>335.5427<>367.1013<>398.1959<>404.6933<>435.7878<>460.8491<>478.0207<>488.2309<>497.0487<>507.723<>511.4357<>544.3867<>533.2484<>521.1818<>525.3587<>533.7125<>571.3044<>574.553<>600.5425<>626.9961<>643.7036<>707.285<>703.5722
