,expId,Compound,tempConfluenceDf
69,2,LY294002,43.30597<>45.40961<>50.8449<>56.66716<>62.35418<>71.80322<>77.18598<>81.83396<>85.23085<>86.90221<>91.45618<>94.63943<>96.45654<>94.13157<>93.85264<>95.00794<>95.02272<>96.96445<>96.57513<>96.79169<>96.43138<>97.45012<>97.36557<>99.23636<>99.06326
70,2,Ivermectin,44.15769<>46.78306<>53.2813<>57.77114<>64.86163<>73.01613<>77.75599<>81.54046<>83.92129<>87.77216<>89.68452<>93.85485<>93.79772<>94.23283<>94.4967<>95.12157<>94.59707<>96.61077<>97.98975<>97.36516<>97.66129<>98.27592<>98.74336<>98.73598<>98.92676
71,2,SGI-1027,69.39026<>75.32362<>72.92819<>70.90083<>71.29966<>66.82485<>66.79611<>64.08302<>62.7091<>59.90467<>61.58556<>61.24662<>62.5683<>63.86298<>62.43596<>62.74699<>63.02658<>61.72489<>63.30334<>62.13429<>61.41163<>63.03872<>62.14308<>58.58664<>61.76371
72,2,ZCL278,46.32584<>47.90768<>55.39885<>59.21508<>63.46575<>68.71851<>75.26393<>79.78848<>84.63942<>90.12067<>92.86388<>96.51525<>96.37419<>96.33744<>96.86656<>97.83398<>97.90051<>97.87238<>98.25029<>98.45932<>98.75158<>98.70889<>98.77106<>99.12058<>99.31013
73,2,GSK690693,43.77562<>45.44712<>49.4825<>53.53982<>59.09275<>62.39568<>65.87442<>70.61243<>75.00344<>77.86658<>84.5702<>87.71744<>87.94698<>88.35881<>89.46811<>88.14206<>85.90379<>83.90687<>82.86768<>82.63187<>82.41268<>80.97652<>81.73125<>81.07281<>83.63
74,2,GSK1059615,37.62939<>34.209<>35.47268<>36.46898<>38.36214<>39.80107<>40.94856<>41.16821<>41.02909<>40.0784<>39.3618<>36.86844<>35.88016<>36.97308<>35.66106<>35.09<>33.95882<>32.67869<>33.16017<>32.29699<>31.9067<>31.73768<>31.45881<>29.99164<>30.45086
75,2,TW-37,38.79607<>39.05434<>41.26546<>44.49125<>47.02345<>47.00819<>51.19749<>53.24181<>56.55193<>58.59422<>60.09406<>56.53915<>58.08345<>58.28354<>53.23587<>56.39387<>56.78361<>54.20224<>52.66143<>52.13092<>51.29627<>50.74202<>47.58938<>47.50808<>44.803
76,2,Cefoselis Sulfate,43.00797<>44.48572<>48.93055<>52.85173<>56.74567<>59.97837<>66.95407<>72.87377<>79.07852<>84.16901<>90.3353<>94.13744<>95.76508<>96.58674<>96.62991<>96.09306<>97.29408<>97.67953<>97.96861<>98.39204<>98.77057<>99.00309<>99.53373<>99.76174<>99.87407
77,2,Malotilate,31.70908<>32.18998<>36.53943<>40.04406<>44.47944<>49.7031<>52.91335<>59.06815<>65.75078<>72.65321<>79.95433<>87.05162<>89.79781<>90.02183<>90.84196<>92.41827<>93.24395<>95.06631<>95.25668<>95.94357<>96.89902<>97.10432<>97.61342<>98.28993<>99.37209
78,2,Meropenem,37.45794<>39.55252<>44.38031<>49.31704<>52.42069<>59.44877<>64.00634<>66.79409<>71.58198<>81.98199<>85.46681<>91.14051<>93.39508<>92.49108<>93.40807<>92.62447<>94.16265<>94.62325<>94.28146<>94.36139<>95.459<>95.77095<>96.55904<>97.88681<>97.66404
79,2,SNS-032 (BMS-387032),36.92715<>38.17135<>40.97971<>42.22852<>42.53226<>42.70848<>42.20062<>40.27318<>40.50826<>35.44975<>37.35452<>37.82605<>34.6761<>34.2946<>34.70277<>32.85939<>31.49737<>30.11329<>31.23266<>28.88221<>28.79482<>28.09916<>27.33511<>27.54482<>26.79073
80,2,Oxcarbazepine,42.09529<>44.00917<>50.56842<>54.55522<>58.9142<>60.38619<>69.14606<>75.39607<>78.92696<>83.3727<>88.9566<>92.11475<>92.21643<>95.57291<>95.51654<>95.63542<>96.15791<>96.53832<>97.14314<>97.65473<>98.19117<>98.92193<>98.99715<>99.31268<>99.56641
81,2,Capecitabine ,42.57563<>44.55315<>51.07744<>57.16104<>60.93431<>64.66837<>69.47336<>76.26476<>82.69804<>87.46891<>91.22678<>95.25226<>96.08987<>97.28053<>97.35445<>97.55214<>98.16602<>98.37891<>98.44219<>98.89629<>98.9606<>99.05283<>99.17301<>99.4987<>99.53123
