,expId,Compound,tempConfluenceDf
64,3,FT-207 (NSC 148958),37.17534<>38.41187<>45.57637<>51.48044<>58.54131<>67.30569<>74.86563<>81.40687<>85.82904<>90.28624<>95.64862<>97.58481<>99.27441<>99.80264<>99.84616<>100<>100<>100<>100<>100<>100<>100<>100<>100<>100
65,3,Iniparib (BSI-201),39.98397<>43.52383<>50.71224<>56.90041<>62.37705<>70.88036<>79.08377<>85.19155<>87.11622<>92.87107<>95.74821<>98.69432<>99.62249<>99.89687<>99.83089<>99.94542<>100<>100<>100<>100<>100<>100<>100<>100<>100
66,3,Dexamethasone (DHAP),41.65353<>45.70609<>53.40138<>60.89336<>66.04947<>72.68484<>79.04488<>86.1955<>89.1657<>94.38819<>96.8064<>98.73348<>99.57567<>99.62036<>99.83884<>99.96947<>100<>100<>100<>100<>100<>100<>100<>100<>100
67,3,Quisinostat (JNJ-26481585),30.83837<>33.61136<>35.48546<>39.10662<>43.57441<>52.19841<>56.64725<>55.80163<>50.09996<>42.42036<>32.98497<>28.8664<>26.20427<>22.18335<>20.51227<>19.68902<>19.24949<>18.99363<>18.63858<>18.25583<>17.8545<>17.4484<>17.28988<>17.09805<>17.15606
68,3,Fluoxetine HCl,40.04626<>41.6447<>46.97785<>55.03909<>62.91755<>69.48428<>77.43935<>81.89633<>88.43439<>91.70763<>94.39764<>96.52926<>99.02865<>99.12252<>99.55051<>99.80727<>99.96642<>100<>100<>100<>100<>100<>100<>100<>100
69,3,LY294002,39.77481<>42.15268<>49.9966<>53.8235<>61.65567<>69.15789<>74.34489<>81.49928<>87.32999<>90.81267<>94.98922<>96.83783<>97.97655<>98.96675<>99.83214<>99.81162<>99.96953<>100<>99.97775<>100<>100<>100<>100<>100<>100
70,3,Ivermectin,38.47436<>40.84356<>48.42859<>54.38081<>62.75095<>67.27914<>72.81351<>80.72404<>86.15149<>90.7836<>93.4922<>97.7562<>99.53629<>99.77267<>99.85984<>99.9428<>100<>100<>100<>100<>100<>100<>100<>100<>100
71,3,SGI-1027,47.80683<>52.4897<>56.14305<>60.56311<>64.84843<>70.50948<>75.35905<>80.62437<>84.37602<>87.70045<>92.71358<>93.70986<>96.10935<>97.41557<>98.61267<>99.26282<>99.85798<>99.81963<>99.92781<>99.97948<>100<>100<>100<>100<>100
72,3,ZCL278,33.29258<>37.06882<>41.55883<>48.19407<>53.81238<>61.40293<>67.60722<>71.81937<>78.7252<>83.86576<>89.91282<>93.88924<>97.70467<>98.92987<>99.61082<>99.97305<>100<>100<>100<>100<>100<>100<>100<>100<>100
73,3,GSK690693,36.91804<>37.68608<>42.66025<>49.5077<>55.42453<>58.35516<>64.14725<>70.11245<>77.08279<>82.69327<>86.97807<>93.36475<>95.02562<>97.89144<>98.96999<>99.47992<>99.94605<>100<>99.98114<>100<>100<>100<>100<>100<>100
74,3,GSK1059615,34.59556<>32.1848<>35.11576<>38.03954<>41.77614<>46.39105<>49.91849<>51.70639<>56.74644<>59.4375<>61.06895<>61.94733<>63.72801<>66.23177<>67.89005<>68.67417<>69.43089<>69.5771<>70.31181<>71.49873<>73.20934<>73.10774<>73.89105<>74.09689<>74.0521
75,3,TW-37,43.50518<>45.38613<>51.56637<>52.67138<>56.57178<>61.32537<>63.15726<>70.74891<>74.38424<>78.14496<>82.10274<>83.74896<>84.77122<>85.77986<>83.78156<>85.0232<>86.36301<>85.80908<>84.22932<>86.57023<>88.72926<>86.75244<>83.83399<>86.61105<>83.80339
76,3,Cefoselis Sulfate,43.65591<>47.46401<>52.35825<>59.973<>67.60113<>75.72694<>84.84658<>90.12578<>96.67778<>98.02013<>99.28056<>99.77528<>99.88167<>99.97982<>99.94777<>100<>100<>100<>100<>100<>100<>100<>100<>100<>100
77,3,Malotilate,46.97833<>48.73854<>55.27678<>63.72562<>72.4995<>81.58805<>88.43852<>92.98539<>97.25374<>98.85962<>99.44096<>99.95012<>99.98106<>100<>100<>100<>100<>100<>100<>100<>100<>100<>100<>100<>100
78,3,Meropenem,48.26183<>50.77787<>54.87653<>64.3893<>72.84903<>80.8725<>86.26513<>92.41034<>96.61105<>98.41636<>99.53401<>99.81991<>99.90287<>99.92663<>100<>100<>100<>100<>100<>100<>100<>100<>100<>100<>100
79,3,SNS-032 (BMS-387032),44.15194<>48.28774<>50.37115<>53.58179<>53.28358<>54.30868<>51.65153<>49.88283<>49.89374<>45.44866<>47.81837<>50.17117<>49.35994<>46.94137<>45.86262<>46.22803<>45.55752<>44.88396<>45.02991<>42.84953<>40.59613<>41.96058<>38.61108<>39.0397<>39.51412
80,3,Oxcarbazepine,44.07327<>47.3213<>53.27856<>60.53635<>69.21255<>79.05856<>84.6216<>89.1181<>96.27686<>98.414<>99.28836<>99.6993<>99.91958<>99.87599<>99.97229<>99.97713<>100<>100<>100<>100<>100<>100<>100<>100<>100
81,3,Capecitabine ,45.60475<>48.95985<>55.79686<>63.97068<>71.72511<>80.29081<>86.47836<>92.09791<>96.85026<>98.35418<>99.1409<>99.70138<>99.93568<>99.98071<>100<>100<>100<>100<>100<>100<>100<>100<>100<>100<>100
82,3,Tenofovir ,35.38454<>38.91854<>42.65292<>49.00302<>55.78836<>65.12855<>69.38703<>74.88028<>83.775<>86.92584<>91.84834<>97.25463<>99.19843<>99.45976<>99.67402<>99.88312<>100<>100<>100<>100<>100<>100<>100<>100<>100
83,3,Cisplatin,36.4846<>39.26419<>45.0391<>52.16325<>58.82066<>68.19193<>73.80595<>81.13672<>85.59081<>88.65107<>92.02191<>95.93217<>98.5981<>99.50838<>99.80409<>99.91041<>100<>99.9685<>100<>100<>100<>100<>100<>100<>100
