,expId,Compound,tempSytoxDf
69,3,LY294002,0.4640978<>3.248684<>3.712782<>3.248684<>4.17688<>5.569173<>3.248684<>6.497369<>5.569173<>6.497369<>8.817858<>17.17162<>19.02801<>16.24342<>22.27669<>27.84587<>41.7688<>64.97369<>73.79154<>96.99644<>111.8476<>136.9088<>180.534<>241.3308<>261.7511
70,3,Ivermectin,1.856391<>2.784587<>3.248684<>1.856391<>1.856391<>3.248684<>5.569173<>6.033271<>8.35376<>15.31523<>17.63572<>21.8126<>25.98948<>22.27669<>33.41504<>38.52011<>56.15583<>80.75301<>119.2731<>148.0472<>184.2468<>220.4464<>277.9946<>315.5865<>336.4709
71,3,SGI-1027,2.784587<>7.889662<>29.70226<>70.54286<>103.9579<>132.732<>139.6934<>135.0524<>159.1855<>174.9649<>179.6058<>211.1645<>239.4744<>256.182<>269.6408<>283.5638<>319.7634<>341.576<>382.4166<>445.998<>460.8491<>508.6512<>545.3149<>584.7632<>614.9296
72,3,ZCL278,1.856391<>0.9281955<>1.392293<>2.784587<>2.784587<>5.569173<>3.712782<>4.640978<>5.105075<>3.248684<>4.17688<>7.889662<>8.817858<>11.13835<>20.4203<>36.66372<>54.29944<>73.32745<>133.6602<>167.0752<>197.2415<>233.9053<>279.3869<>331.3658<>367.1013
73,3,GSK690693,5.105075<>6.961466<>5.569173<>5.569173<>4.17688<>6.961466<>7.425564<>8.35376<>9.746053<>7.425564<>11.60244<>13.92293<>12.99474<>17.17162<>26.91767<>25.06128<>37.59192<>51.97895<>56.15583<>78.43253<>111.3835<>142.9421<>161.9701<>175.8931<>189.3519
74,3,GSK1059615,6.961466<>6.961466<>7.425564<>6.961466<>6.033271<>5.569173<>8.35376<>12.06654<>15.31523<>16.24342<>25.52538<>29.23816<>32.95094<>35.27143<>47.80207<>60.79681<>65.90189<>81.68121<>94.21185<>102.1015<>113.704<>118.809<>129.0192<>126.6987<>140.1575
75,3,TW-37,1.856391<>5.105075<>5.569173<>8.35376<>6.961466<>8.817858<>9.281956<>6.961466<>8.35376<>10.67425<>9.281956<>13.45884<>25.06128<>34.34324<>36.66372<>58.01222<>72.39925<>84.4658<>105.8143<>128.091<>135.9807<>152.2241<>154.5446<>159.6496<>174.9649
76,3,Cefoselis Sulfate,6.497369<>5.105075<>5.569173<>1.856391<>1.856391<>1.392293<>1.856391<>2.784587<>4.17688<>6.033271<>9.281956<>12.06654<>13.92293<>21.3485<>22.74079<>38.98421<>53.37124<>75.18384<>138.7652<>168.0034<>191.2083<>229.7284<>289.597<>321.6198<>331.3658
77,3,Malotilate,7.425564<>9.281956<>13.92293<>12.53064<>8.817858<>7.425564<>9.746053<>8.817858<>11.13835<>9.746053<>12.06654<>21.8126<>25.52538<>26.91767<>29.23816<>44.08929<>51.05075<>60.79681<>107.6707<>157.7932<>197.7056<>239.0103<>273.8177<>301.6635<>321.1557
78,3,Meropenem,10.67425<>13.45884<>13.45884<>6.961466<>6.497369<>5.569173<>4.640978<>5.105075<>4.17688<>6.961466<>10.67425<>17.63572<>23.20489<>22.27669<>23.66899<>35.73553<>44.08929<>65.43778<>111.3835<>170.3239<>211.6286<>238.0822<>268.2485<>295.6303<>336.935
79,3,SNS-032 (BMS-387032),8.35376<>6.961466<>9.281956<>10.21015<>10.67425<>11.60244<>15.77932<>17.63572<>19.02801<>20.4203<>23.66899<>30.16636<>32.48684<>32.02275<>30.63045<>34.34324<>41.7688<>45.94568<>51.05075<>62.6532<>74.25565<>92.81956<>103.9579<>128.091<>136.9088
80,3,Oxcarbazepine,4.640978<>8.35376<>11.60244<>6.497369<>7.425564<>6.961466<>7.889662<>9.281956<>13.45884<>11.13835<>12.99474<>15.31523<>17.17162<>27.84587<>30.63045<>42.69699<>66.36598<>64.04549<>88.64268<>133.1961<>181.4622<>207.9158<>252.9333<>270.1049<>270.1049
81,3,Capecitabine ,6.497369<>7.889662<>10.67425<>6.497369<>6.033271<>6.961466<>6.961466<>6.497369<>9.746053<>11.13835<>9.746053<>13.45884<>15.31523<>17.63572<>23.20489<>21.8126<>39.44831<>63.1173<>110.4553<>142.0139<>166.6111<>197.2415<>252.4692<>274.2818<>290.5252
